measurement_type,concurrency,run,capacity,accepted,reverted,settlement_batch_latency_ms,settlement_mean_latency_ms,throughput_req_s,total_gas,budget_total_fixed,budget_used_fixed,budget_reserved_fixed,budget_remaining_fixed,budget_invariant_violations
measured_local_hardhat,2,27,1,1,1,3.1356000006198883,3.1356000006198883,318.91822930294245,179688,1000000,1000000,0,0,0
measured_local_hardhat,2,28,1,1,1,3.551300000399351,3.551300000399351,281.5870244382474,179664,1000000,1000000,0,0,0
measured_local_hardhat,2,29,1,1,1,3.3281000005081296,3.3281000005081296,300.47174058691786,179688,1000000,1000000,0,0,0
measured_local_hardhat,4,0,2,2,2,6.020699999295175,3.0103499996475875,332.1872872314073,329976,2000000,2000000,0,0,0
measured_local_hardhat,4,1,2,2,2,6.604700000025332,3.302350000012666,302.81466228478644,329976,2000000,2000000,0,0,0
measured_local_hardhat,4,2,2,2,2,6.827399999834597,3.4136999999172986,292.9372821349932,329928,2000000,2000000,0,0,0
measured_local_hardhat,4,3,2,2,2,6.20990000013262,3.10495000006631,322.066377873603,329976,2000000,2000000,0,0,0
measured_local_hardhat,4,4,2,2,2,6.141499999910593,3.0707499999552965,325.65334202216326,329976,2000000,2000000,0,0,0
measured_local_hardhat,4,5,2,2,2,6.382000000216067,3.1910000001080334,313.3813851351126,329976,2000000,2000000,0,0,0
measured_local_hardhat,4,6,2,2,2,6.894100000150502,3.447050000075251,290.10313165697323,329976,2000000,2000000,0,0,0
measured_local_hardhat,4,7,2,2,2,5.747800000011921,2.8739000000059605,347.9592191787905,329976,2000000,2000000,0,0,0
measured_local_hardhat,4,8,2,2,2,6.449599999934435,3.2247999999672174,310.0967501892104,329976,2000000,2000000,0,0,0
measured_local_hardhat,4,9,2,2,2,5.9836999997496605,2.9918499998748302,334.24135569692226,329952,2000000,2000000,0,0,0
measured_local_hardhat,4,10,2,2,2,5.4411000004038215,2.7205500002019107,367.57273342735226,329976,2000000,2000000,0,0,0
measured_local_hardhat,4,11,2,2,2,6.240299999713898,3.120149999856949,320.4974119980922,329928,2000000,2000000,0,0,0
measured_local_hardhat,4,12,2,2,2,7.280100000090897,3.6400500000454485,274.7215010748518,329976,2000000,2000000,0,0,0
measured_local_hardhat,4,13,2,2,2,6.5690000001341105,3.2845000000670552,304.460344033973,329976,2000000,2000000,0,0,0
measured_local_hardhat,4,14,2,2,2,6.986099999397993,3.4930499996989965,286.28276150818687,329976,2000000,2000000,0,0,0
measured_local_hardhat,4,15,2,2,2,7.307699999772012,3.653849999886006,273.6839224465148,329976,2000000,2000000,0,0,0
measured_local_hardhat,4,16,2,2,2,6.2672000005841255,3.1336000002920628,319.1217768403103,329976,2000000,2000000,0,0,0
measured_local_hardhat,4,17,2,2,2,6.434200000017881,3.2171000000089407,310.8389543368938,329976,2000000,2000000,0,0,0
measured_local_hardhat,4,18,2,2,2,6.8710000002756715,3.4355000001378357,291.07844562942194,329952,2000000,2000000,0,0,0
measured_local_hardhat,4,19,2,2,2,6.388299999758601,3.1941499998793006,313.0723353749159,329976,2000000,2000000,0,0,0
measured_local_hardhat,4,20,2,2,2,7.542600000277162,3.771300000138581,265.16055470613685,329928,2000000,2000000,0,0,0
measured_local_hardhat,4,21,2,2,2,8.878699999302626,4.439349999651313,225.25820223198096,329904,2000000,2000000,0,0,0
measured_local_hardhat,4,22,2,2,2,7.478199999779463,3.7390999998897314,267.44403734307474,329976,2000000,2000000,0,0,0
measured_local_hardhat,4,23,2,2,2,7.380399999208748,3.690199999604374,270.9880223584656,329928,2000000,2000000,0,0,0
measured_local_hardhat,4,24,2,2,2,6.231100000441074,3.115550000220537,320.9706151174637,329976,2000000,2000000,0,0,0
measured_local_hardhat,4,25,2,2,2,6.083000000566244,3.041500000283122,328.7851388811158,329976,2000000,2000000,0,0,0
measured_local_hardhat,4,26,2,2,2,6.616799999959767,3.3083999999798834,302.2609116207473,329976,2000000,2000000,0,0,0
measured_local_hardhat,4,27,2,2,2,5.399300000630319,2.6996500003151596,370.4183875255159,329976,2000000,2000000,0,0,0
measured_local_hardhat,4,28,2,2,2,5.941700000315905,2.9708500001579523,336.6040022036901,329976,2000000,2000000,0,0,0
measured_local_hardhat,4,29,2,2,2,7.71169999986887,3.855849999934435,259.346188263808,329952,2000000,2000000,0,0,0
