measurement_type,timestamp_utc,config_hash,configuration,run,is_warmup,rows,function_id,epsilon_requested,delta_requested,total_latency_ms,throughput_req_s,total_gas,proof_overhead_ms,attestation_overhead_ms,budget_overhead_ms,other_lifecycle_ms,process_startup_ms,process_cpu_time_ms,normalized_peak_cpu_percent,peak_working_set_bytes,peak_private_bytes,security_coverage_score,security_coverage_total,success,failure_status
locally_measured,2026-07-19T11:13:59.466Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TrustCircuit,8,0,1000,2,0.5,0.00001,884.8501999992877,1.1301347956985317,1370230,224.64209999889135,74.189,3.1986999977380037,582.8204000026584,57.149,1890.875,100,1367285760,3253477376,8,8,1,
locally_measured,2026-07-19T11:14:00.540Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TEE-only,9,0,1000,2,0.5,0.00001,646.9895000010729,1.5456201375730854,0,0,81.911,0,565.0785000010728,58.83,500.875,3.319425865080779,1367285760,3330502656,3,8,1,
locally_measured,2026-07-19T11:14:00.997Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Access Ledger,9,0,1000,2,0.5,0.00001,8.943199999630451,111.8167993605557,433320,0,0,0,8.943199999630451,0,32,42.25738976776649,1367285760,3323416576,1,8,1,
locally_measured,2026-07-19T11:14:02.056Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,ZK Release,9,0,1000,2,0.5,0.00001,596.5226000007242,1.6763824203790199,670125,281.73030000180006,0,0,314.79229999892414,0,2047,100,1367285760,3326652416,2,8,1,
locally_measured,2026-07-19T11:14:02.643Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Local DP Ledger,9,0,1000,2,0.5,0.00001,170.10999999940395,5.878549174084439,0,0,0,0.002,170.10799999940394,13.572,15.625,0,1367285760,990490624,2,8,1,
locally_measured,2026-07-19T11:14:04.165Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TrustCircuit,9,0,1000,2,0.5,0.00001,1039.112199999392,0.9623599838406142,1370254,231.53619999997318,79.469,3.448300000280142,724.6586999991387,55.013,2187.875,100,1367285760,3228737536,8,8,1,
locally_measured,2026-07-19T11:14:05.250Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TEE-only,10,0,1000,2,0.5,0.00001,656.615399999544,1.5229615388257638,0,0,89.763,0,566.852399999544,55.072,452.875,2.9453274107206484,1367285760,3306668032,3,8,1,
locally_measured,2026-07-19T11:14:05.828Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Access Ledger,10,0,1000,2,0.5,0.00001,10.663500001654029,93.77784028179198,433320,0,0,0,10.663500001654029,0,0,0,1367285760,3301875712,1,8,1,
locally_measured,2026-07-19T11:14:07.011Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,ZK Release,10,0,1000,2,0.5,0.00001,724.0970000009984,1.38103044205213,670173,282.9987999983132,0,0,441.0982000026852,0,2188,100,1367285760,3302948864,2,8,1,
locally_measured,2026-07-19T11:14:07.641Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Local DP Ledger,10,0,1000,2,0.5,0.00001,165.34889999963343,6.047817675244389,0,0,0,0.002,165.34689999963342,11.736,15.625,0,1367285760,1097527296,2,8,1,
locally_measured,2026-07-19T11:14:09.116Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TrustCircuit,10,0,1000,2,0.5,0.00001,914.621799999848,1.0933480920749605,1370230,245.55839999951422,79.467,2.7850000001490116,586.8114000001848,62.8,2078.125,100,1367285760,3188629504,8,8,1,
locally_measured,2026-07-19T11:14:10.202Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TEE-only,11,0,1000,2,0.5,0.00001,645.0966000016779,1.550155434081344,0,0,76.421,0,568.6756000016778,66.363,499.5,3.192474445010328,1367285760,3270955008,3,8,1,
locally_measured,2026-07-19T11:14:10.712Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Access Ledger,11,0,1000,2,0.5,0.00001,9.901100000366569,100.99887890870478,433284,0,0,0,9.901100000366569,0,16,0.4563796859948858,1367285760,3264794624,1,8,1,
locally_measured,2026-07-19T11:14:11.767Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,ZK Release,11,0,1000,2,0.5,0.00001,593.4871000014246,1.6849565896168588,670113,266.5038000009954,0,0,326.98330000042915,0,1594,100,1367285760,3266150400,2,8,1,
locally_measured,2026-07-19T11:14:12.397Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Local DP Ledger,11,0,1000,2,0.5,0.00001,172.75260000117123,5.788624888963872,0,0,0,0.001,172.75160000117123,13.555999999999997,15.625,0,1367285760,1066319872,2,8,1,
locally_measured,2026-07-19T11:14:13.909Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TrustCircuit,11,0,1000,2,0.5,0.00001,1019.5034999996424,0.9808696095701004,1370242,240.21230000257492,71.744,3.1003000009804964,704.4468999960869,51.263000000000005,2313.5,100,1367285760,3224064000,8,8,1,
locally_measured,2026-07-19T11:14:14.993Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TEE-only,12,0,1000,2,0.5,0.00001,650.4784000013024,1.5373300635316989,0,0,85.255,0,565.2234000013024,68.003,452.875,2.9331618247627063,1367285760,3301199872,3,8,1,
