measurement_type,epsilon_requested,privacy_cost_fixed,request_index,accepted,reverted,reason,latency_ms,budget_total_fixed,budget_used_fixed,budget_reserved_fixed,budget_remaining_fixed,budget_invariant_violations,cumulative_accepted_requests
measured_local_hardhat,0.25,267953,30,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xfb7d7d13a2643de7e41dbe46fb967c1fba4b51899c257827c1826b950287c0d8"", 267953, 176846)'",1.7428000001236796,5000000,4823154,0,176846,0,18
measured_local_hardhat,0.25,267953,31,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xfb7d7d13a2643de7e41dbe46fb967c1fba4b51899c257827c1826b950287c0d8"", 267953, 176846)'",1.576799999922514,5000000,4823154,0,176846,0,18
measured_local_hardhat,0.25,267953,32,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xfb7d7d13a2643de7e41dbe46fb967c1fba4b51899c257827c1826b950287c0d8"", 267953, 176846)'",1.9195999996736646,5000000,4823154,0,176846,0,18
measured_local_hardhat,0.5,500578,1,1,0,,3.3224999997764826,5000000,500578,0,4499422,0,1
measured_local_hardhat,0.5,500578,2,1,0,,3.606300000101328,5000000,1001156,0,3998844,0,2
measured_local_hardhat,0.5,500578,3,1,0,,4.06279999949038,5000000,1501734,0,3498266,0,3
measured_local_hardhat,0.5,500578,4,1,0,,3.238299999386072,5000000,2002312,0,2997688,0,4
measured_local_hardhat,0.5,500578,5,1,0,,2.9824000000953674,5000000,2502890,0,2497110,0,5
measured_local_hardhat,0.5,500578,6,1,0,,4.293000000528991,5000000,3003468,0,1996532,0,6
measured_local_hardhat,0.5,500578,7,1,0,,4.016900000162423,5000000,3504046,0,1495954,0,7
measured_local_hardhat,0.5,500578,8,1,0,,3.5527999997138977,5000000,4004624,0,995376,0,8
measured_local_hardhat,0.5,500578,9,1,0,,2.647899999283254,5000000,4505202,0,494798,0,9
measured_local_hardhat,0.5,500578,10,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xe878434386bd1923511ea261c25291df7416ac8bd2769e18274fd90cc1dc6f7c"", 500578, 494798)'",1.6931999996304512,5000000,4505202,0,494798,0,9
measured_local_hardhat,0.5,500578,11,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xe878434386bd1923511ea261c25291df7416ac8bd2769e18274fd90cc1dc6f7c"", 500578, 494798)'",1.6721999999135733,5000000,4505202,0,494798,0,9
measured_local_hardhat,0.5,500578,12,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xe878434386bd1923511ea261c25291df7416ac8bd2769e18274fd90cc1dc6f7c"", 500578, 494798)'",1.5324000008404255,5000000,4505202,0,494798,0,9
